ticker,pdf,date,type,source,url,title,date_name,,,,,,,,,,,,,,,,,,,
AAPL,yes,11/1/2024,Company presentation,apple,https://www.apple.com/newsroom/2024/11/driving-the-game-forward-ipad-teams-up-with-college-football/,driving-the-game-forward-ipad-teams-up-with-college-footbal,2024-11-01_AAPL_Company presentation_driving-the-game-forward-ipad-teams-up-with-college-footbal,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/31/2024,Press release,apple,https://www.apple.com/newsroom/2024/10/apple-reports-fourth-quarter-results/,Apple reports fourth quarter results,2024-10-31_AAPL_Press release_Apple reports fourth quarter results,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/31/2024,Press release,apple,https://www.apple.com/newsroom/pdfs/fy2024-q4/FY24_Q4_Consolidated_Financial_Statements.pdf,FY24_Q4_Consolidated_Financial_Statements,2024-10-31_AAPL_Press release_FY24_Q4_Consolidated_Financial_Statements,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/1/2024,Press release,apple,https://s2.q4cdn.com/470004039/files/doc_downloads/additional_reports/2023/apple_greenbond_report_fy2023.pdf,apple_greenbond_report_fy2023,2024-10-01_AAPL_Press release_apple_greenbond_report_fy2023,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/1/2024,Press release,apple,https://www.apple.com/nz/supplier-responsibility/pdf/Apple-Supplier-List.pdf,Apple-Supplier-Lis,2024-10-01_AAPL_Press release_Apple-Supplier-Lis,,,,,,,,,,,,,,,,,,,
AAPL,yes,11/4/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-11-04/apple-explores-push-into-smart-glasses-with-atlas-user-study,Apple Explores Push Into Smart Glasses With ‘Atlas’ User Study,2024-11-04_AAPL_News_Apple Explores Push Into Smart Glasses With ‘Atlas’ User Study,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/31/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-10-31/apple-meets-sales-estimates-but-china-region-remains-weak-spot,"Apple (AAPL) Meets Sales Estimates, But China Region Remains Weak - Bloomberg","2024-10-31_AAPL_News_Apple (AAPL) Meets Sales Estimates, But China Region Remains Weak - Bloomberg",,,,,,,,,,,,,,,,,,,
AAPL,yes,11/1/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-11-01/airpods-maker-goertek-is-said-to-pick-banks-for-unit-s-hong-kong-ipo,AirPods Maker GoerTek Picks Banks for Unit’s Hong Kong IPO,2024-11-01_AAPL_News_AirPods Maker GoerTek Picks Banks for Unit’s Hong Kong IPO,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/27/2024,News,bloomberg,https://www.bloomberg.com/news/newsletters/2024-10-27/apple-m4-macbook-pro-mac-mini-imac-launch-details-ios-18-2-chatgpt-testing-m2rl1vws,"Apple Set to Give the Mac Its Long-Awaited M4 Chip Overhaul:
Power On","2024-10-27_AAPL_News_Apple Set to Give the Mac Its Long-Awaited M4 Chip Overhaul:
Power On",,,,,,,,,,,,,,,,,,,
AAPL,yes,10/23/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-10-23/apple-makes-headway-on-m4-macbook-air-and-plans-new-low-end-ipad,Apple Makes Headway on M4 MacBook Air and Plans New LowEnd iPad,2024-10-23_AAPL_News_Apple Makes Headway on M4 MacBook Air and Plans New LowEnd iPad,,,,,,,,,,,,,,,,,,,
AAPL,yes,10/7/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-10-07/apple-s-dan-rosckes-to-retire-as-global-head-of-procurement,Apple’s Dan Rosckes to Retire as Global Head of Procurement,2024-10-07_AAPL_News_Apple’s Dan Rosckes to Retire as Global Head of Procurement,,,,,,,,,,,,,,,,,,,
AAPL,yes,11/1/2024,News,bloomberg,https://www.bloomberg.com/news/articles/2024-11-01/apple-to-acquire-pixelmator-maker-of-popular-photo-editing-apps,"Apple to Buy Pixelmator, Maker of Popular Photo-Editing Apps","2024-11-01_AAPL_News_Apple to Buy Pixelmator, Maker of Popular Photo-Editing Apps",,,,,,,,,,,,,,,,,,,
